request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days.
request_28,289.58,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,Pay EUR 1302.4 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1100 minimum.
request_29,0,not_affordable,not_recommended,none,,none,Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28300 minimum protected.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 3394.09 available."
request_31,2908162.71,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,Pay IDR 18164000 in full on 15 September 2024. Paying earlier would take the balance below the IDR 16588900 minimum.
request_32,15561.03,affordable_later,wait,2025-04-15:40018,2025-04-15,none,Pay ZAR 40018 in full on 15 April 2025. Paying earlier would take the balance below the ZAR 35700 minimum.
request_33,39421.95,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Pay INR 118000 in full on 15 March 2026. Paying earlier would take the balance below the INR 102100 minimum.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days.
request_35,14789.38,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the INR 106400 minimum protected.
request_36,423.43,not_affordable,not_recommended,none,,none,Do not make this payment by 15 September 2026. None of the available options keeps the USD 2400 minimum protected.
request_37,4922204.3,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Pay IDR 14649000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 17056200 minimum.
request_38,225.41,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.3 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,58598.15,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Pay INR 208600 in full on 15 April 2026. Paying earlier would take the balance below the INR 213400 minimum.
request_40,413.3,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,Pay EUR 1290.3 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1500 minimum.
request_41,8324872.72,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Pay IDR 38760000 in full on 15 November 2025. Paying earlier would take the balance below the IDR 25366600 minimum.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This leaves at least INR 113100 available over the next 90 days.
request_43,6639572.51,affordable_later,wait,2024-09-15:43339000,2024-09-15,none,Pay IDR 43339000 in full on 15 September 2024. Paying earlier would take the balance below the IDR 21398000 minimum.
request_44,11878.95,not_affordable,not_recommended,none,,none,Do not make this payment by 15 April 2025. None of the available options keeps the INR 82900 minimum protected.
request_45,4901900.65,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Pay IDR 21983000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11149800 minimum.
request_46,31223.14,affordable_with_plan,partial_payment,2024-12-03:31223.14|2024-12-15:18226.86,2024-12-15,none,Pay INR 31223.14 today and the remaining INR 18226.86 on 15 December 2024. This completes the full request and keeps the INR 84000 minimum protected.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. This leaves at least IDR 30049000 available over the next 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days.
request_49,5855957.36,not_affordable,not_recommended,none,,none,Do not make this payment by 22 May 2024. None of the available options keeps the IDR 20275700 minimum protected.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This leaves at least INR 99700 available over the next 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days.
request_52,16385.62,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Pay INR 28870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41500 minimum.
request_53,714.42,not_affordable,not_recommended,none,2026-01-15,none,Do not make this payment by 20 January 2026. None of the available options keeps the USD 2100 minimum protected.
request_54,0,not_affordable,not_recommended,none,,none,Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37000 minimum protected.
request_55,124141.58,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75781.33, starting 11 June 2026. This leaves at least INR 127703.43 available."
request_56,567.2,affordable_with_plan,partial_payment,2025-02-03:567.20|2025-02-15:314.36,2025-02-15,none,Pay USD 567.2 today and the remaining USD 314.36 on 15 February 2025. This completes the full request and keeps the USD 2100 minimum protected.
request_57,5873.63,not_affordable,not_recommended,none,,none,Do not make this payment by 15 June 2026. None of the available options keeps the ZAR 42700 minimum protected.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This leaves at least IDR 14433900 available over the next 90 days.
